#     surf                  Re[Psi]                  Im[Psi]               Population
       306 -3.7959733627993077E-014  1.1906172389975775E-014  1.5826983180880099E-027
       307 -3.1236279022321976E-014  5.4025100412275430E-016  9.7599699830780773E-028
       308  2.3790344409220055E-014 -6.8933597454939095E-015  6.1349889569010380E-028
       309 -4.7460323834457317E-014  3.6055683517855488E-016  2.2526123397029513E-027
       310  1.3922584729151960E-013 -2.7218352574060290E-014  2.0124675270887391E-026
       311 -5.4182399288165321E-013  1.5191317820148602E-012  2.6013346103898627E-024
       312  4.0413339694300401E-014  1.4671842871076295E-013  2.3159535348602148E-026
       313  2.3211346791030666E-013 -1.2980045691400189E-013  7.0724820600432622E-026
       314  1.3692546818513802E-013  1.4713451998998409E-012  2.1836052811060221E-024
       315 -4.4795883524002938E-014 -1.1640646753228617E-013  1.5557136864041232E-026
       316 -6.0165379080823195E-013  2.0884494455035126E-013  4.0560349485815503E-025
       317  5.5139070304394011E-014 -1.0557851463348343E-013  1.4187139826245582E-026
       318  8.0505699673186318E-014 -2.9602196314175837E-013  9.4110170342169827E-026
       319 -5.1485422201266823E-014  2.4223575157398597E-013  6.1328908039856554E-026
       320  6.5582820115007268E-014 -2.4198359030280085E-015  4.3069619000349849E-027
       321  1.1073653379184133E-013  1.6018346523978234E-014  1.2519167341593861E-026
       322  1.6463529645029770E-014 -2.9190996386461232E-014  1.1231620784071666E-027
       323 -3.3559510297323169E-014  1.6241983692770934E-014  1.3900427656723766E-027
       324  4.2873018004743614E-014  1.2447259176924845E-013  1.7331521774589049E-026
       325  2.9169532439208343E-014 -3.7070228189532702E-014  2.2250634407460529E-027
       326  2.4193486560307208E-013  3.9929996102251028E-013  2.1797293806695478E-025
       327 -3.0265184311456932E-013  2.9265091652295599E-013  1.7724269708237203E-025
       328  1.7706110050233164E-014 -2.4340875942482977E-013  5.9561330497845614E-026
       329 -2.0020479951484466E-014 -5.9498640770199464E-014  3.9409078709890333E-027
       330  1.0887018763839221E-014  4.0540544273302129E-014  1.7620629075397573E-027
       331  7.2445651815198336E-014  3.8488601791385552E-014  6.7297449347847976E-027
       332 -7.2663561825721522E-014 -2.4727244052372756E-014  5.8914298156260577E-027
