#               time [ns]          Re(ampl) [Vpcm]          Im(ampl) [Vpcm]
  5.50487156775907982E-01  1.06470459048984469E-04  1.24854229256811893E-04
  5.53715820452013063E-01  1.07077861186144591E-04  1.26864066477814027E-04
  5.56944484128118034E-01  1.07674730004550406E-04  1.28891792373835148E-04
  5.60173147804223115E-01  1.08260854944165305E-04  1.30937386013625873E-04
  5.63401811480328196E-01  1.08836025215082775E-04  1.33000824546810611E-04
  5.66630475156433056E-01  1.09400029812942360E-04  1.35082083200126766E-04
  5.69859138832538137E-01  1.09952657534382540E-04  1.37181135273778263E-04
  5.73087802508643218E-01  1.10493696992529218E-04  1.39297952137903817E-04
  5.76316466184748188E-01  1.11022936632520656E-04  1.41432503229161802E-04
  5.79545129860853270E-01  1.11540164747066012E-04  1.43584756047429509E-04
  5.82773793536958351E-01  1.12045169492038462E-04  1.45754676152619680E-04
  5.86002457213063321E-01  1.12537738902100662E-04  1.47942227161612438E-04
  5.89231120889168403E-01  1.13017660906362548E-04  1.50147370745304056E-04
  5.92459784565273373E-01  1.13484723344070703E-04  1.52370066625773129E-04
  5.95688448241378454E-01  1.13938713980327747E-04  1.54610272573562935E-04
  5.98917111917483536E-01  1.14379420521841697E-04  1.56867944405082092E-04
  6.02145775593588506E-01  1.14806630632703811E-04  1.59143035980121894E-04
  6.05374439269693476E-01  1.15220131950194977E-04  1.61435499199493186E-04
  6.08603102945798557E-01  1.15619712100618386E-04  1.63745284002778893E-04
  6.11831766621903528E-01  1.16005158715159272E-04  1.66072338366207359E-04
  6.15060430298008609E-01  1.16376259445769663E-04  1.68416608300642911E-04
  6.18289093974113690E-01  1.16732801981078043E-04  1.70778037849695773E-04
  6.21517757650218661E-01  1.17074574062322293E-04  1.73156569087950396E-04
  6.24746421326323742E-01  1.17401363499306091E-04  1.75552142119314244E-04
  6.27975085002428823E-01  1.17712958186377058E-04  1.77964695075484737E-04
  6.31203748678533794E-01  1.18009146118426252E-04  1.80394164114536964E-04
  6.34432412354638875E-01  1.18289715406907995E-04  1.82840483419630611E-04
  6.37661076030743845E-01  1.18554454295879104E-04  1.85303585197836937E-04
  6.40889739706848816E-01  1.18803151178057005E-04  1.87783399679086581E-04
  6.44118403382953897E-01  1.19035594610895340E-04  1.90279855115237394E-04
  6.47347067059058978E-01  1.19251573332676975E-04  1.92792877779262694E-04
  6.50575730735163948E-01  1.19450876278622665E-04  1.95322391964560877E-04
  6.53804394411269030E-01  1.19633292597015178E-04  1.97868319984385394E-04
  6.57033058087374000E-01  1.19798611665337419E-04  2.00430582171395893E-04
  6.60261721763479081E-01  1.19946623106424835E-04  2.03009096877331387E-04
  6.63490385439584163E-01  1.20077116804629617E-04  2.05603780472803549E-04
  6.66719049115689133E-01  1.20189882921997135E-04  2.08214547347212851E-04
  6.69947712791794214E-01  1.20284711914453199E-04  2.10841309908784666E-04
  6.73176376467899296E-01  1.20361394548001321E-04  2.13483978584729514E-04
  6.76405040144004155E-01  1.20419721914929027E-04  2.16142461821522733E-04
  6.79633703820109236E-01  1.20459485450022919E-04  2.18816666085308315E-04
  6.82862367496214318E-01  1.20480476946790424E-04  2.21506495862423011E-04
  6.86091031172319288E-01  1.20482488573688833E-04  2.24211853660044141E-04
  6.89319694848424369E-01  1.20465312890359692E-04  2.26932640006958971E-04
  6.92548358524529339E-01  1.20428742863867689E-04  2.29668753454456524E-04
  6.95777022200634421E-01  1.20372571884944340E-04  2.32420090577342177E-04
  6.99005685876739502E-01  1.20296593784233806E-04  2.35186545975075013E-04
  7.02234349552844472E-01  1.20200602848541345E-04  2.37968012273026991E-04
  7.05463013228949554E-01  1.20084393837083210E-04  2.40764380123865762E-04
  7.08691676905054635E-01  1.19947761997736470E-04  2.43575538209059620E-04
  7.11920340581159605E-01  1.19790503083289128E-04  2.46401373240505764E-04
  7.15149004257264576E-01  1.19612413367688175E-04  2.49241769962281305E-04
  7.18377667933369657E-01  1.19413289662285535E-04  2.52096611152516879E-04
  7.21606331609474627E-01  1.19192929332081823E-04  2.54965777625393503E-04
  7.24834995285579708E-01  1.18951130311964758E-04  2.57849148233262786E-04
  7.28063658961684790E-01  1.18687691122943648E-04  2.60746599868888897E-04
  7.31292322637789760E-01  1.18402410888378059E-04  2.63658007467815539E-04
  7.34520986313894841E-01  1.18095089350199440E-04  2.66583244010853765E-04
  7.37749649989999812E-01  1.17765526885125801E-04  2.69522180526695168E-04
  7.40978313666104893E-01  1.17413524520867626E-04  2.72474686094645541E-04
  7.44206977342209974E-01  1.17038883952324627E-04  2.75440627847484078E-04
  7.47435641018314945E-01  1.16641407557772344E-04  2.78419870974443736E-04
  7.50664304694420026E-01  1.16220898415037916E-04  2.81412278724315799E-04
  7.53892968370524996E-01  1.15777160317663631E-04  2.84417712408676726E-04
  7.57121632046629967E-01  1.15309997791057911E-04  2.87436031405238399E-04
  7.60350295722735048E-01  1.14819216108632535E-04  2.90467093161320979E-04
  7.63578959398840129E-01  1.14304621307925147E-04  2.93510753197448449E-04
  7.66807623074945099E-01  1.13766020206706908E-04  2.96566865111067858E-04
  7.70036286751050181E-01  1.13203220419073083E-04  2.99635280580390925E-04
  7.73264950427155262E-01  1.12616030371516615E-04  3.02715849368357065E-04
  7.76493614103260232E-01  1.12004259318984262E-04  3.05808419326721861E-04
  7.79722277779365314E-01  1.11367717360912486E-04  3.08912836400264748E-04
  7.82950941455470284E-01  1.10706215457245232E-04  3.12028944631122403E-04
  7.86179605131575365E-01  1.10019565444429118E-04  3.15156586163242161E-04
  7.89408268807680336E-01  1.09307580051388014E-04  3.18295601246958593E-04
  7.92636932483785306E-01  1.08570072915475496E-04  3.21445828243693040E-04
  7.95865596159890387E-01  1.07806858598402761E-04  3.24607103630773753E-04
  7.99094259835995468E-01  1.07017752602143334E-04  3.27779262006379368E-04
  8.02322923512100439E-01  1.06202571384811912E-04  3.30962136094603056E-04
  8.05551587188205520E-01  1.05361132376517703E-04  3.34155556750640424E-04
  8.08780250864310601E-01  1.04493253995190742E-04  3.37359352966095987E-04
  8.12008914540415461E-01  1.03598755662380088E-04  3.40573351874414582E-04
  8.15237578216520653E-01  1.02677457819023421E-04  3.43797378756431399E-04
  8.18466241892625623E-01  1.01729181941187852E-04  3.47031257046044096E-04
  8.21694905568730705E-01  1.00753750555779490E-04  3.50274808336007587E-04
  8.24923569244835675E-01  9.97509872562218002E-05  3.53527852383846359E-04
  8.28152232920940756E-01  9.87207167181022426E-05  3.56790207117891310E-04
  8.31380896597045727E-01  9.76627647147857450E-05  3.60061688643433897E-04
  8.34609560273150919E-01  9.65769581329934957E-05  3.63342111249002799E-04
  8.37838223949255778E-01  9.54631249883486409E-05  3.66631287412760062E-04
  8.41066887625360970E-01  9.43210944408843193E-05  3.69929027809017203E-04
