#             freq. [MHz]    Abs(ampl) [arb.units]
 -1.51902654867256642E+05  1.25417516351732411E-25
 -1.51893805309734511E+05  1.28099146295310195E-25
 -1.51884955752212380E+05  2.01983495505052464E-24
 -1.51876106194690248E+05  4.98031673640567524E-24
 -1.51867256637168146E+05  8.11814022008568737E-24
 -1.51858407079646015E+05  1.04884747799174735E-23
 -1.51849557522123883E+05  1.13775502610046412E-23
 -1.51840707964601781E+05  1.05176449804113849E-23
 -1.51831858407079650E+05  8.16762416267339505E-24
 -1.51823008849557518E+05  5.03505824485418147E-24
 -1.51814159292035387E+05  2.06320221800733819E-24
 -1.51805309734513285E+05  1.46979761700963704E-25
 -1.51796460176991153E+05  1.36514547249378131E-25
 -1.51787610619469022E+05  1.29809638714886138E-24
 -1.51778761061946891E+05  4.01901143690600406E-24
 -1.51769911504424788E+05  7.20693208966435109E-24
 -1.51761061946902657E+05  9.90202058896448185E-24
 -1.51752212389380526E+05  1.12926801891056631E-23
 -1.51743362831858394E+05  1.09601548839152094E-23
 -1.51734513274336292E+05  9.00457130766368874E-24
 -1.51725663716814161E+05  6.01456620207307302E-24
 -1.51716814159292029E+05  2.89068013315084069E-24
 -1.51707964601769898E+05  5.73445502695756643E-25
 -1.51699115044247796E+05  2.39300443160246848E-25
 -1.51690265486725664E+05  6.97352111879673461E-25
 -1.51681415929203533E+05  3.10126127742277227E-24
 -1.51672566371681402E+05  6.24886769626016746E-24
 -1.51663716814159299E+05  9.19233847007786890E-24
 -1.51654867256637168E+05  1.10453665835001910E-23
 -1.51646017699115037E+05  1.12499656388061994E-23
 -1.51637168141592905E+05  9.74443286878867671E-24
 -1.51628318584070803E+05  6.98214569683507335E-24
 -1.51619469026548672E+05  3.79470345287470063E-24
 -1.51610619469026540E+05  1.14201742797406882E-24
 -1.51601769911504409E+05  1.77145284450195309E-25
 -1.51592920353982307E+05  2.34526119283309320E-25
 -1.51584070796460175E+05  2.25314742583191336E-24
 -1.51575221238938044E+05  5.27100936389252459E-24
 -1.51566371681415912E+05  8.37942384656245536E-24
 -1.51557522123893810E+05  1.06424476261333261E-23
 -1.51548672566371679E+05  1.13785951733024906E-23
